PID,x_merc,y_merc,Neighborhood,Sector,Color,SalePrice,latitude,longitude,DfromWalmart
909176150,-10425250.559492102,5163760.720363054,SWISU,SO,orange,126.0,42.01856448979592,-93.65161918367347,2.3097977885650494
905476230,-10426592.160815949,5164703.377285634,Edwards,WE,purple,140.0,42.024855315930424,-93.66367099341755,2.9863298667452147
911128020,-10421070.3919705,5164207.719008793,IDOTRR,DT,dodgerblue,125.0,42.021547615297024,-93.61406809992513,0.5326184379994761
535377150,-10420863.210730867,5166582.151480443,OldTown,DT,dodgerblue,114.0,42.03739146938776,-93.61220695918368,1.5015979106265303
534177230,-10423046.3370085,5167655.719510569,NWAmes,NW,white,227.0,42.04455376067282,-93.63181831620726,2.3518309160548108
908128060,-10427629.203104476,5163827.291298559,Edwards,WE,purple,198.0,42.01900877172312,-93.67298690279817,3.4090622205565784
902135020,-10420902.613297964,5165648.504091299,OldTown,DT,dodgerblue,93.0,42.031162,-93.61256091846626,1.0865277830937359
528228540,-10424131.76538897,5170463.817600481,Blmngtn,NW,white,188.0,42.06328412279648,-93.6415688852472,3.7197007445531294
923426010,-10419907.18409276,5158956.785386048,Mitchel,SE,red,138.0,41.986495735956744,-93.6036188257733,2.043302854769734
908186050,-10427173.391527144,5163819.358739377,Edwards,WE,purple,140.0,42.0189558314751,-93.6688922777322,3.198507284121316
528186170,-10421771.804958371,5166153.874296733,NridgHt,NW,white,220.0,42.0600881067537,-93.65380926777956,3.884639176974639
923426070,-10419742.55289966,5158957.40577067,Mitchel,SE,red,136.0,41.98649987838884,-93.60213991860324,2.050663013892645
902204080,-10420483.565830734,5165799.172127037,OldTown,DT,dodgerblue,80.0,42.03216732653061,-93.6087965510204,1.1201142235454706
535105100,-10421254.395334316,5168007.669574904,NAmes,NO,green,159.0,42.04690161396658,-93.61572103026556,2.180728123587528
907405020,-10429261.737870645,5163362.696862511,CollgCr,WE,purple,214.0,42.01590809090909,-93.68765221212121,4.157623284751157
531382110,-10429434.802061465,5166354.023588935,SawyerW,WE,purple,163.0,42.03586941394644,-93.68920687419867,4.4533379012628895
906380120,-10429424.1636687,5164698.048046904,CollgCr,WE,purple,203.0,42.02481975297594,-93.68911130789053,4.275954304405519
909101060,-10425841.405218564,5164287.8662775485,Edwards,WE,purple,67.0,42.02208247765018,-93.65692684113985,2.6100769910851263
534152050,-10423654.239340808,5167470.250265162,NWAmes,NW,white,205.0,42.04331646337044,-93.63727919577093,2.4499502040769565
923252075,-10420192.359045427,5159111.3426505495,Mitchel,SE,red,131.0,41.98752773737374,-93.60618059595959,1.9655244235919984
531376060,-10429651.083112076,5166606.94983345,SawyerW,WE,purple,181.0,42.037556920296716,-93.691149759933,4.584967774492514
902201120,-10420487.907290876,5166001.649912255,OldTown,DT,dodgerblue,115.0,42.03351832653061,-93.6088355510204,1.2131859343027318
923228080,-10419847.913464803,5159804.450016789,MeadowV,SE,red,98.0,41.99215551070729,-93.60308638866339,1.6573008534231595
902326030,-10420872.29576441,5165378.16644614,OldTown,DT,dodgerblue,266.0,42.02935814285714,-93.61228857142856,0.9630670945513934
